# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/zld.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/zld.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region5394	chr3R	27922626	27922937	.	312	376	502	732	525	51	100	87	82	8	12	9	38	29
Region5395	chr3R	27927543	27927771	.	229	85	105	224	290	35	44	146	90	0	19	9	34	31
Region5396	chr3R	27930714	27931925	.	1212	1818	3563	2446	6857	124	273	542	458	26	82	52	198	156
Region5397	chr3R	27937452	27937978	.	527	573	783	814	901	73	124	319	163	9	33	15	117	69
Region5398	chr3R	27938406	27938700	.	295	434	535	840	523	41	85	173	157	10	25	18	51	41
Region5399	chr3R	27944108	27944424	.	317	191	189	298	479	51	57	197	108	5	20	11	49	50
Region5400	chr3R	27947778	27948187	.	410	727	749	1202	826	93	133	127	133	4	24	12	58	31
Region5401	chr3R	27948561	27948932	.	372	550	760	891	859	65	116	143	148	12	34	23	102	50
Region5402	chr3R	27960412	27960849	.	438	574	1187	842	1823	41	39	70	68	8	15	17	58	35
Region5403	chr3R	27963076	27963494	.	419	558	1217	868	1820	30	67	78	62	3	20	5	55	37
Region5404	chr3R	28086116	28086313	.	198	200	260	252	215	27	32	85	73	1	14	8	46	25
Region5405	chr3R	28320632	28321038	.	407	416	671	325	387	42	84	371	168	4	33	19	56	61
Region5406	chr3R	28330796	28331049	.	254	213	437	221	285	46	82	148	143	3	18	11	56	35
Region5407	chr3R	28335443	28336335	.	893	853	1191	1205	1473	126	225	383	390	10	54	56	161	96
Region5408	chr3R	28339609	28339910	.	302	388	568	600	480	64	83	111	85	7	19	12	63	31
Region5409	chr3R	28340318	28340845	.	528	455	773	481	588	68	134	275	154	19	33	21	93	73
Region5410	chr3R	28345387	28345598	.	212	483	565	641	395	35	59	63	52	5	15	10	56	32
Region5411	chr3R	28417928	28418273	.	346	269	326	665	767	49	57	132	112	6	20	10	28	31
Region5412	chr3R	28540805	28541090	.	286	93	86	285	497	43	56	167	180	4	14	19	56	37
Region5413	chr3R	28545079	28545367	.	289	580	516	649	316	48	91	45	72	4	13	8	32	21
Region5414	chr3R	28547136	28547569	.	434	642	1205	799	1202	55	91	213	178	6	35	24	87	57
Region5415	chr3R	28548415	28548674	.	260	182	285	237	431	44	72	151	106	9	12	12	49	34
Region5416	chr3R	28555368	28555682	.	315	164	335	257	406	48	86	127	102	4	28	17	61	40
Region5417	chr3R	28561952	28562250	.	299	116	132	322	462	52	66	134	179	3	25	11	38	33
Region5418	chr3R	28574378	28574691	.	314	115	178	246	497	52	72	154	124	3	34	15	46	45
Region5419	chr3R	28585075	28585814	.	740	1462	2575	2010	3295	102	153	377	213	16	45	22	114	71
Region5420	chr3R	28586034	28586636	.	603	618	1011	629	1353	91	116	271	255	14	38	33	108	81
Region5421	chr3R	28588506	28588740	.	235	186	323	177	332	39	42	95	106	2	17	10	39	33
Region5422	chr3R	28599190	28599912	.	723	755	802	1253	628	86	184	166	145	13	44	28	73	69
Region5423	chr3R	28600195	28600802	.	608	385	622	669	812	106	157	225	242	13	39	25	141	82
Region5424	chr3R	28631552	28632096	.	545	867	2209	1130	2686	74	116	204	193	7	43	26	94	65
Region5425	chr3R	28634734	28635946	.	1213	1188	1309	1445	1053	183	252	338	338	24	71	37	173	97
Region5426	chr3R	28672262	28672535	.	274	539	526	680	309	41	63	57	77	1	22	8	36	29
Region5427	chr3R	28744242	28744544	.	303	203	430	133	160	42	39	121	146	2	16	14	33	43
Region5428	chr3R	28810937	28811546	.	610	992	942	2007	1024	106	146	220	155	17	37	18	87	79
Region5429	chr3R	28811776	28812252	.	477	469	519	826	461	66	111	124	128	21	32	14	75	46
Region5430	chr3R	28831940	28832154	.	215	246	342	428	274	37	43	78	68	3	20	8	41	14
Region5431	chr3R	28845006	28845363	.	358	802	824	1167	763	66	92	104	128	4	17	20	64	40
Region5432	chr3R	28858181	28859686	.	1506	1860	3666	2678	8225	205	431	596	556	39	122	57	310	189
Region5433	chr3R	28860548	28860905	.	358	262	291	271	661	68	91	174	163	9	13	14	76	45
Region5434	chr3R	28861129	28861975	.	847	1497	2471	1598	4302	113	245	458	426	13	56	39	196	117
Region5435	chr3R	28887894	28888218	.	325	310	560	531	653	60	78	112	91	5	22	7	61	40
Region5436	chr3R	28888879	28889111	.	233	154	244	252	284	42	68	74	76	6	16	16	57	39
Region5437	chr3R	28891748	28891973	.	226	270	523	242	431	34	75	167	76	4	18	10	39	45
Region5438	chr3R	28943965	28944197	.	233	41	47	145	462	32	58	61	62	1	14	9	27	18
Region5439	chr3R	29039842	29040088	.	247	197	245	260	232	35	65	114	116	1	13	11	57	29
Region5440	chr3R	29062857	29063191	.	335	249	328	329	408	72	85	134	99	7	32	7	64	54
Region5441	chr3R	29073081	29073489	.	409	364	676	397	719	64	110	179	159	9	27	21	80	57
Region5442	chr3R	29073953	29074666	.	714	1116	2285	1270	2994	90	192	311	305	19	60	34	149	111
Region5443	chr3R	29086974	29087211	.	238	255	445	285	366	40	75	112	130	11	26	22	67	25
Region5444	chr3R	29087850	29088645	.	796	906	1565	1255	1986	115	212	436	445	18	69	68	198	122
Region5445	chr3R	29112326	29112605	.	280	148	164	292	360	42	68	176	94	2	26	19	50	42
Region5446	chr3R	29112899	29113207	.	309	900	910	1649	824	46	81	92	83	13	13	11	57	42
Region5447	chr3R	29117346	29117773	.	428	561	549	579	1155	62	84	319	272	8	34	32	60	50
Region5448	chr3R	29122763	29123462	.	700	987	918	1880	949	80	158	232	199	7	44	26	79	73
Region5449	chr3R	29143490	29143717	.	228	245	286	60	34	44	24	113	79	3	9	11	27	19
Region5450	chr3R	29148075	29148410	.	336	748	925	886	835	49	96	168	144	5	23	20	56	33
Region5451	chr3R	29151141	29152230	.	1090	757	1151	1605	2325	141	250	483	375	15	64	58	196	134
Region5452	chr3R	29152835	29153615	.	781	620	1043	1130	1330	140	185	381	306	19	80	37	168	117
Region5453	chr3R	29220031	29220937	.	907	613	742	878	1195	137	207	573	341	17	67	42	165	119
Region5454	chr3R	29223349	29223836	.	488	393	557	547	566	75	141	277	137	3	35	22	90	67
Region5455	chr3R	29229051	29229378	.	328	184	327	246	374	66	86	108	93	3	30	10	61	50
Region5456	chr3R	29255182	29255727	.	546	745	1874	1189	2289	88	151	291	213	18	52	34	126	82
Region5457	chr3R	29257878	29258532	.	655	507	1301	1030	1518	83	132	275	221	14	54	38	90	71
Region5458	chr3R	29259844	29260040	.	197	70	55	224	375	39	52	84	80	5	14	9	45	19
Region5459	chr3R	29263057	29263941	.	885	1280	2332	1165	967	138	208	319	325	18	59	30	102	91
Region5460	chr3R	29285626	29286189	.	564	345	892	202	162	65	126	218	225	8	33	23	69	61
Region5461	chr3R	29297745	29298171	.	427	253	483	275	730	57	105	241	193	3	29	18	84	53
Region5462	chr3R	29304113	29304610	.	498	779	1679	497	864	77	142	220	173	10	30	24	81	67
Region5463	chr3R	29305174	29305755	.	582	120	181	378	884	80	120	198	150	15	43	18	88	67
Region5464	chr3R	29306906	29308012	.	1107	1456	3737	1149	2352	153	228	446	339	20	77	45	177	117
Region5465	chr3R	29308586	29309385	.	800	262	368	2047	5901	101	183	267	218	10	47	42	119	84
Region5466	chr3R	29316401	29316711	.	311	322	592	82	138	56	73	184	104	6	42	10	49	52
Region5467	chr3R	29459625	29459896	.	272	79	139	223	315	38	70	63	68	6	21	13	38	29
Region5468	chr3R	29461089	29461345	.	257	60	30	250	402	38	61	89	80	3	22	8	36	29
Region5469	chr3R	29489177	29489482	.	306	263	397	382	239	48	104	80	66	6	21	10	32	33
Region5470	chr3R	29490958	29491233	.	276	270	443	354	436	50	98	126	116	3	13	13	44	33
Region5471	chr3R	29493378	29493657	.	280	580	1043	495	565	44	78	149	104	6	27	15	59	31
Region5472	chr3R	29503439	29503706	.	268	591	818	604	481	49	82	142	59	2	22	10	36	34
Region5473	chr3R	29516676	29517169	.	494	298	610	218	309	55	98	193	145	8	31	25	68	63
Region5474	chr3R	29545194	29545642	.	449	354	787	205	481	61	95	166	127	15	32	16	61	37
Region5475	chr3R	29547890	29548436	.	547	759	1854	1501	2165	89	123	259	198	17	46	19	104	72
Region5476	chr3R	29555959	29556546	.	588	1694	2772	2581	2541	92	158	267	251	6	47	28	134	68
Region5477	chr3R	29559609	29559904	.	296	342	788	218	239	41	62	108	111	8	37	13	42	36
Region5478	chr3R	29586764	29587066	.	303	255	619	180	247	51	88	101	109	7	16	12	46	33
Region5479	chr3R	29591628	29591895	.	268	359	556	451	516	42	97	115	115	3	22	13	69	45
Region5480	chr3R	29592097	29592323	.	227	144	168	240	323	43	59	76	74	3	24	3	29	20
Region5481	chr3R	29618913	29619156	.	244	260	323	326	402	32	60	88	60	3	14	8	36	27
Region5482	chr3R	29667248	29667491	.	244	219	338	190	214	43	63	84	90	4	15	11	37	30
Region5483	chr3R	29670838	29671059	.	222	228	350	119	129	28	62	106	88	10	18	11	35	35
Region5484	chr3R	29691012	29691445	.	434	458	746	872	748	58	102	178	171	9	33	14	76	39
Region5485	chr3R	29692277	29692633	.	357	321	454	397	652	41	100	127	72	5	17	17	32	31
Region5486	chr3R	29709320	29709560	.	241	94	115	189	484	49	61	100	87	0	12	10	33	26
Region5487	chr3R	29717013	29717253	.	241	489	518	608	436	47	64	95	108	8	21	9	47	27
Region5488	chr3R	29725628	29725922	.	295	626	700	847	573	52	82	90	88	20	16	12	52	40
Region5489	chr3R	29764180	29764702	.	523	469	955	466	848	72	114	235	218	10	45	28	83	70
Region5490	chr3R	29765660	29766133	.	474	731	1208	874	1242	65	120	162	138	18	27	21	77	59
Region5491	chr3R	29770924	29771301	.	378	492	1089	451	655	48	80	184	161	8	34	30	64	48
Region5492	chr3R	29771992	29772345	.	354	208	536	335	594	53	87	133	125	9	24	12	75	38
Region5493	chr3R	29772669	29773097	.	429	540	756	863	823	48	106	223	163	10	20	16	58	57
Region5494	chr3R	29774523	29774804	.	282	220	583	297	441	47	89	171	168	11	22	15	66	37
Region5495	chr3R	29794190	29794789	.	600	320	645	512	1071	97	142	261	199	9	49	25	84	73
Region5496	chr3R	29799230	29799444	.	215	272	272	416	195	37	63	55	63	3	19	11	35	13
Region5497	chr3R	29802881	29803180	.	300	352	458	521	321	39	86	76	47	2	18	3	28	31
Region5498	chr3R	29806608	29806889	.	282	403	487	671	463	47	77	145	120	5	16	12	63	36
Region5499	chr3R	29857343	29857649	.	307	345	532	495	424	49	102	142	72	9	22	14	42	32
Region5500	chr3R	29858872	29859085	.	214	221	312	377	219	34	52	53	92	8	15	9	45	34
Region5501	chr3R	29868861	29869091	.	231	291	392	392	330	38	63	67	70	5	20	8	41	28
Region5502	chr3R	29876871	29877283	.	413	411	1096	494	1163	52	121	261	300	4	38	19	102	55
Region5503	chr3R	29904088	29904236	.	149	198	194	248	114	27	49	21	35	2	6	4	18	14
Region5504	chr3R	30021809	30022353	.	545	843	1640	1276	2013	88	143	250	241	12	35	35	103	69
Region5505	chr3R	30022591	30022966	.	376	1120	1273	1531	1098	44	93	206	171	9	26	17	76	66
Region5506	chr3R	30027237	30027821	.	585	523	642	304	679	80	99	308	277	9	46	27	55	83
Region5507	chr3R	30039526	30039813	.	288	234	367	326	267	58	92	73	76	5	13	14	44	42
Region5508	chr3R	30040605	30042777	.	2173	2072	2504	3178	6591	286	410	1408	1011	57	214	129	400	348
Region5509	chr3R	30043183	30043746	.	564	562	663	720	732	78	152	301	155	8	51	23	117	73
Region5510	chr3R	30052516	30052947	.	432	574	650	792	723	72	110	203	187	6	27	25	105	63
Region5511	chr3R	30056376	30056938	.	563	474	700	852	568	82	145	162	193	11	30	20	94	57
Region5512	chr3R	30058122	30058537	.	416	552	852	816	721	78	125	121	136	11	32	15	55	57
Region5513	chr3R	30153961	30154177	.	217	328	276	511	340	42	57	74	47	3	12	9	49	23
Region5514	chr3R	30157257	30157759	.	503	313	636	392	972	75	98	180	167	8	27	22	76	59
Region5515	chr3R	30180091	30180352	.	262	271	531	449	349	51	67	57	82	4	15	5	33	23
Region5516	chr3R	30272840	30273193	.	354	292	569	400	662	63	81	257	127	5	43	14	48	42
Region5517	chr3R	30273761	30274262	.	502	632	1310	909	1077	81	136	148	136	8	36	19	71	55
Region5518	chr3R	30275964	30276466	.	503	570	1106	965	1621	71	151	149	128	13	35	15	81	60
Region5519	chr3R	30276996	30277275	.	280	278	527	419	513	44	72	131	126	1	22	17	48	46
Region5520	chr3R	30313603	30313799	.	197	216	293	261	353	25	53	139	98	3	19	8	31	28
Region5521	chr3R	30338035	30338428	.	394	418	639	764	602	56	87	228	171	7	35	14	47	51
Region5522	chr3R	30383322	30383689	.	368	252	593	262	311	52	98	150	127	10	28	12	56	50
Region5523	chr3R	30386865	30387142	.	278	248	440	446	563	51	84	141	128	6	21	12	58	41
Region5524	chr3R	30388576	30388878	.	303	262	433	465	654	50	96	141	138	2	15	8	69	47
Region5525	chr3R	30425124	30425331	.	208	211	329	175	262	42	68	61	70	4	13	9	25	16
Region5526	chr3R	30427843	30428310	.	468	580	936	865	1117	67	116	231	209	8	37	30	99	71
Region5527	chr3R	30458420	30459015	.	596	941	1486	492	996	96	109	432	449	11	47	38	98	83
Region5528	chr3R	30467141	30467375	.	235	266	336	357	291	49	75	51	54	6	19	6	23	30
Region5529	chr3R	30563050	30563321	.	272	330	371	486	409	48	85	62	67	8	16	7	50	28
Region5530	chr3R	30568178	30568852	.	675	484	857	756	2527	94	121	240	204	11	34	27	96	74
Region5531	chr3R	30601797	30602026	.	230	274	192	484	292	33	72	74	53	9	19	9	32	30
Region5532	chr3R	30616285	30616878	.	594	231	228	594	923	72	81	242	199	8	25	21	75	69
Region5533	chr3R	30650212	30650527	.	316	156	207	253	479	40	64	119	137	3	31	13	39	30
Region5534	chr3R	30679760	30680096	.	337	104	192	377	484	33	55	92	132	7	16	16	42	36
Region5535	chr3R	30680348	30680786	.	439	339	612	540	934	48	75	172	183	10	25	19	52	41
Region5536	chr3R	30750092	30750465	.	374	86	93	270	544	56	67	124	92	9	25	14	70	48
Region5537	chr3R	30754734	30755543	.	810	334	667	1897	6219	128	144	266	262	28	63	29	106	95
Region5538	chr3R	30762120	30762670	.	551	561	1253	1052	3210	102	134	167	152	22	33	29	99	58
Region5539	chr3R	30764075	30764502	.	428	1012	1472	1041	1503	64	116	171	169	12	33	20	64	51
Region5540	chr3R	30765496	30766207	.	712	901	1862	1106	2811	116	140	332	323	15	42	26	143	95
Region5541	chr3R	30766926	30767412	.	487	1908	4607	1391	2235	79	126	215	192	7	30	25	97	51
Region5542	chr3R	30769622	30770592	.	971	181	169	991	2419	104	205	339	303	18	73	44	180	127
Region5543	chr3R	30772791	30773058	.	268	277	456	199	248	46	61	122	100	10	19	9	54	33
Region5544	chr3R	30781810	30782242	.	433	1270	2540	838	1009	58	99	179	194	18	34	27	92	55
Region5545	chr3R	30782630	30782889	.	260	91	87	296	428	43	69	91	114	1	24	17	56	31
Region5546	chr3R	30803254	30803794	.	541	339	562	652	1024	85	133	235	199	7	52	24	95	63
Region5547	chr3R	30805829	30806224	.	396	398	598	546	682	60	100	187	233	17	23	10	91	56
Region5548	chr3R	30808381	30808895	.	515	1933	2260	2873	2002	76	149	263	218	14	44	21	101	59
Region5549	chr3R	30809493	30809806	.	314	178	408	230	549	37	99	108	92	15	21	19	61	37
Region5550	chr3R	30845413	30845768	.	356	535	899	291	715	57	81	163	108	12	19	15	62	28
Region5551	chr3R	30849343	30850216	.	874	1040	1520	1753	5980	114	198	278	240	20	66	19	131	94
Region5552	chr3R	30851732	30852506	.	775	2170	4636	3542	9460	103	185	321	254	21	51	37	141	77
Region5553	chr3R	30852844	30853452	.	609	368	428	485	610	86	99	398	231	7	47	34	78	79
Region5554	chr3R	30855113	30855719	.	607	613	1276	471	917	92	161	257	252	7	52	28	106	74
Region5555	chr3R	30856235	30856823	.	589	422	809	408	1112	85	127	178	179	9	39	24	92	75
Region5556	chr3R	30859936	30860243	.	308	150	243	265	437	41	68	102	115	4	21	13	51	41
Region5557	chr3R	30865769	30866179	.	411	316	708	307	554	79	94	161	170	5	34	22	62	69
Region5558	chr3R	30870596	30870765	.	170	215	229	276	194	22	47	41	37	5	9	4	21	9
Region5559	chr3R	30888914	30889337	.	424	807	997	879	593	67	116	168	112	8	44	14	100	67
Region5560	chr3R	30903906	30904255	.	350	95	74	237	375	54	68	147	101	4	23	13	37	43
Region5561	chr3R	30909019	30909356	.	338	114	180	700	875	57	77	117	114	5	26	8	50	43
Region5562	chr3R	30912358	30912821	.	464	2781	3592	4401	3239	62	116	267	254	16	31	15	84	58
Region5563	chr3R	30946348	30946783	.	436	522	731	1111	792	64	121	52	74	7	10	9	64	23
Region5564	chr3R	31053799	31054076	.	278	321	418	463	402	46	75	99	79	8	16	6	58	28
Region5565	chr3R	31060778	31061659	.	882	2344	2490	3774	2160	140	223	314	253	33	55	25	160	103
Region5566	chr3R	31062375	31062692	.	318	423	911	702	690	57	96	104	102	7	16	11	61	34
Region5567	chr3R	31086427	31086696	.	270	407	387	550	480	33	54	115	92	9	28	11	39	47
Region5568	chr3R	31192833	31194261	.	1429	1242	1156	2778	7844	170	215	623	521	37	102	57	208	199
Region5569	chr3R	31213250	31213505	.	256	293	377	389	331	43	93	120	101	9	23	10	51	34
Region5570	chr3R	31222701	31222892	.	192	260	353	211	265	32	54	112	88	2	13	9	39	25
Region5571	chr3R	31223104	31223454	.	351	460	983	274	487	51	102	161	158	7	30	17	68	42
Region5572	chr3R	31268058	31268535	.	478	269	271	625	701	56	82	181	94	1	29	17	59	55
Region5573	chr3R	31273239	31273536	.	298	74	61	413	561	41	54	91	69	5	26	12	52	34
Region5574	chr3R	31329192	31329544	.	353	74	71	286	483	62	55	97	79	9	27	12	36	48
Region5575	chr3R	31381225	31381410	.	186	271	245	306	146	26	53	36	29	9	12	3	14	11
Region5576	chr3R	31404882	31405351	.	470	1105	1142	2307	1079	63	117	126	130	14	24	13	77	55
Region5577	chr3R	31458241	31458471	.	231	91	177	172	335	51	81	35	54	3	11	7	47	20
Region5578	chr3R	31579935	31580304	.	370	198	296	355	434	63	102	150	124	5	33	10	77	52
Region5579	chr3R	31580592	31580775	.	184	177	183	271	203	30	57	77	72	3	6	2	31	12
Region5580	chr3R	31596047	31596478	.	432	306	448	489	478	86	125	126	149	4	24	16	77	53
Region5581	chr3R	31689386	31689709	.	324	294	575	408	612	64	91	201	141	13	18	14	44	45
Region5582	chr3R	31690456	31690794	.	339	307	626	312	521	57	85	160	145	6	29	13	54	56
Region5583	chr3R	31704814	31705334	.	521	551	1282	757	2100	57	122	189	212	8	43	22	81	60
Region5584	chr3R	31724752	31725065	.	314	214	336	305	391	31	65	190	104	2	22	14	37	42
Region5585	chr3R	31725466	31725877	.	412	479	822	832	1581	60	125	213	167	1	12	20	89	47
Region5586	chr3R	31736816	31737122	.	307	276	695	506	457	65	95	129	109	6	22	7	69	41
Region5587	chr3R	31739120	31739745	.	626	539	595	696	854	93	133	271	178	17	52	33	99	79
Region5588	chr3R	31743333	31743564	.	232	235	358	360	410	39	82	75	79	5	10	13	45	25
Region5589	chr3R	31745789	31746111	.	323	328	484	624	489	46	100	131	111	15	21	19	59	40
Region5590	chr3R	31793873	31794167	.	295	195	329	294	327	55	86	99	96	3	15	17	56	28
Region5591	chr3R	31794460	31794818	.	359	457	760	534	629	58	89	205	159	12	25	17	81	39
Region5592	chr3R	31812204	31812449	.	246	202	352	291	260	43	81	53	75	4	15	12	32	30
Region5593	chr3R	31852146	31852795	.	650	374	749	946	1391	74	131	270	228	18	54	19	109	97
Region5594	chr3R	31928474	31928699	.	226	196	313	200	211	25	63	84	58	3	19	13	50	34
Region5595	chr3R	31937347	31938217	.	871	1019	2138	1164	1628	132	210	361	333	19	67	28	134	122
Region5596	chr3R	31985693	31985912	.	220	217	364	330	419	37	48	104	65	9	14	12	64	30
Region5597	chr3R	31998215	31998590	.	376	142	230	446	535	62	71	123	120	6	15	19	42	33
Region5598	chr3R	31998824	31999306	.	483	439	670	556	918	57	83	158	185	6	31	22	37	55
Region5599	chr3R	32006273	32006685	.	413	388	609	564	534	51	117	129	134	12	37	21	72	38
Region5600	chr3R	32051883	32052124	.	242	262	327	389	217	21	38	62	67	4	17	6	32	28
Region5601	chr3R	32052508	32052697	.	190	259	252	328	221	16	35	57	53	8	7	17	31	21
Region5602	chr4	43716	43898	.	183	237	183	363	228	36	51	48	89	3	20	14	52	22
Region5603	chr4	56237	56696	.	460	803	1644	1404	1493	80	142	135	234	20	29	31	84	56
Region5604	chr4	58861	59395	.	535	437	1250	876	1678	78	150	128	218	25	33	22	75	59
Region5605	chr4	67085	67417	.	333	371	381	505	482	57	88	133	155	11	27	27	100	49
Region5606	chr4	68565	69116	.	552	1499	2086	2023	982	69	144	192	230	23	33	28	129	88
Region5607	chr4	70256	70664	.	409	284	597	370	598	46	119	130	217	9	22	23	108	53
Region5608	chr4	179348	179554	.	207	251	214	381	184	31	73	49	112	2	17	11	35	37
Region5609	chr4	205887	206107	.	221	272	267	392	251	41	80	87	133	5	22	17	43	37
Region5610	chr4	210097	210283	.	187	206	178	346	224	35	47	66	96	3	13	6	40	24
Region5611	chr4	261782	262039	.	258	242	281	487	257	46	81	114	121	4	32	14	59	50
Region5612	chr4	307945	308168	.	224	268	272	425	246	34	71	40	101	5	11	12	32	21
Region5613	chr4	329198	329437	.	240	229	339	385	467	42	91	140	157	6	24	17	67	39
Region5614	chr4	360131	360367	.	237	162	338	269	307	47	80	54	83	4	14	13	34	29
Region5615	chr4	385314	385707	.	394	424	998	683	974	55	116	176	220	15	27	24	90	68
Region5616	chr4	386810	387014	.	205	114	219	278	307	42	67	79	151	5	7	17	61	27
Region5617	chr4	396318	396829	.	512	467	903	489	534	79	113	280	317	10	40	38	80	86
Region5618	chr4	401091	401478	.	388	443	768	331	560	59	111	222	266	9	30	18	76	61
Region5619	chr4	406294	407214	.	921	1131	2648	1436	2044	136	269	308	354	42	67	48	158	109
Region5620	chr4	424646	424939	.	294	909	809	1210	512	51	105	74	110	11	13	9	47	33
Region5621	chr4	486584	486920	.	337	621	739	808	619	63	106	87	113	18	20	13	68	37
Region5622	chr4	490971	491231	.	261	232	329	551	323	48	86	142	196	8	41	21	61	53
Region5623	chr4	501448	501971	.	524	484	987	685	1044	92	153	234	272	16	43	46	142	81
Region5624	chr4	502656	502954	.	299	248	428	345	520	59	83	177	224	15	26	22	75	40
Region5625	chr4	509895	510227	.	333	97	183	544	1132	47	112	116	202	16	18	21	88	70
Region5626	chr4	557246	557557	.	312	274	351	432	367	46	85	125	225	11	27	27	90	43
Region5627	chr4	660516	660747	.	232	170	248	286	234	40	64	58	95	4	18	10	55	28
Region5628	chr4	696776	696963	.	188	178	237	304	337	30	65	50	80	16	19	10	49	29
Region5629	chr4	697497	697787	.	291	554	842	935	579	45	87	81	108	11	19	15	48	27
Region5630	chr4	704309	704730	.	422	765	1729	1168	1802	71	102	237	313	20	31	27	107	52
Region5631	chr4	718727	718942	.	216	147	158	535	329	19	62	61	119	4	19	7	81	17
Region5632	chr4	808201	808485	.	285	148	457	279	473	44	83	124	171	10	29	18	64	42
Region5633	chr4	834101	834453	.	353	230	563	319	520	52	99	194	285	14	24	41	123	68
Region5634	chr4	835000	835162	.	163	180	217	362	192	36	49	42	55	2	9	6	29	16
Region5635	chr4	835489	836238	.	750	2004	2462	3007	1223	114	194	179	264	12	39	22	118	84
Region5636	chr4	844464	844798	.	335	533	1337	795	1200	47	120	168	207	15	36	20	86	66
Region5637	chr4	851169	851492	.	324	310	660	322	420	60	99	136	160	8	28	25	64	38
Region5638	chr4	866964	867241	.	278	417	380	856	373	38	75	103	138	4	17	18	64	28
Region5639	chr4	959596	959823	.	228	73	91	241	219	27	58	42	50	0	4	4	32	12
Region5640	chr4	979773	980308	.	536	871	1310	1196	774	85	164	155	184	24	37	25	98	57
Region5641	chr4	989392	989799	.	408	1505	2325	3001	2169	70	116	166	205	19	38	19	97	64
Region5642	chr4	1031661	1031938	.	278	363	528	544	439	38	81	81	150	10	26	16	82	42
Region5643	chr4	1088504	1088836	.	333	222	605	216	288	39	90	137	213	3	36	21	77	53
Region5644	chr4	1112859	1113187	.	329	469	706	661	411	52	95	130	159	11	31	29	83	47
Region5645	chr4	1123961	1124205	.	245	201	252	409	189	44	77	51	101	2	15	12	19	27
Region5646	chr4	1230644	1230867	.	224	293	251	456	242	41	81	49	94	6	10	12	55	34
Region5647	chrX	123875	124130	.	256	293	372	110	67	38	41	60	49	10	12	7	20	16
Region5648	chrX	279436	279705	.	270	262	318	432	398	25	56	71	76	0	22	5	38	29
Region5649	chrX	305383	305639	.	257	55	48	146	377	43	45	58	63	3	9	6	36	32
Region5650	chrX	369677	370295	.	619	778	1902	1159	3834	61	119	234	187	8	38	17	104	72
Region5651	chrX	383045	383302	.	258	121	226	209	406	33	56	94	114	3	21	8	38	37
